,상품번호,상품정보,가격,제고정보,재입고여부,재입고예정일,삭제예정일,품절이유
0,2942,깜찍이 다람쥐 부착식 후크 행거,"2,920",품절,31846,2022-10-06 ~ 2022-10-07입고예정,-,일시품절되었습니다. 10/5(수) 중국에서 상품출하예정입니다. 10/13~14 수입통관/입고 예정입니다. 품절로 판매에 불편을 드려 죄송합니다.
1,3514,손가락 안전 커터,760,품절,재입고 될것임,-,2022-12-31삭제예정,대량주문건으로 일시품절되었습니다. 9/29(목) 중국에서 상품추하하였습니다. 10/6~7 수입통관/입고 예정입니다. 품절로 판매에 불편을 드려 죄송합니다.
2,3299,사각 전자저울,"8,110",품절,재입고 될것임,-,2022-12-31삭제예정,"해당제품이 비법정단위를 표시할 수 있는 계량기로 확인되어, 판매할 수 없게 되었습니다. 더이상 판매/입고예정이 없습니다. 판매에 불편을 드려 정말 죄송합니다."
3,1923,휴대용 전자 손저울,"5,200",품절,재입고 미정(단종),-,2022-10-14삭제예정,"현재 법정단위표시 문제로 단종되었습니다.
더이상 판매예정이 없으니 참고부탁드립니다.
판매에 불편드려 대단히 죄송합니다.
"
4,2719,마이룸 케이블 링 1P,"2,930",품절,재입고 미정(단종),2022-10-06 ~ 2022-10-07입고예정,-,"사입처 단종으로 확인되어,
부득이하게 더이상 판매가 어렵게 되었습니다.
단종으로 불편드려 대단히 죄송합니다."
5,3847,안테나형 가이드 인솔자 인솔대 깃대,"2,870",품절,재입고 미정(단종),2022-10-20 ~ 2022-10-21입고예정,-,대량주문건으로 일시품절되었습니다. 9/29(목) 중국출하예정입니다. 10/6~7 수입통관/입고 예정입니다. 품절로 판매에 불편을 드려 죄송합니다.
6,2931,스포이드 유리 공병 50ml,750,품절,재입고 될것임,2022-10-20 ~ 2022-10-21입고예정,-,대량주문건으로 일시품절되었습니다. 중국 국경절 연휴로 상품입고가 평소보다 늦어질것 같습니다. 예상입고일은 10/20~21 수입통관/입고 예정입니다. 품절로 판매에 불편을 드려 죄송합니다.
7,2980,접이식 컬러 양변기 손잡이,"1,000",품절,재입고 될것임,2022-10-27 ~ 2022-10-28입고예정,-,"생산업체에서 단종되어, 현재 일시품절되었습니다. 공급 가능한 새로운 업체를 찾고 있습니다. 최대한 빨리 상품 공급하도록 하겠습니다. 품절로판매에 불편을 드려 죄송합니다."
8,2757,심플 머니클립,"1,480",품절,재입고 될것임,2022-10-27 ~ 2022-10-28입고예정,-,"해당상품 단종되어, 공급가능한 새로운 상점을 찾고있습니다. 최대한 빨리 상품 공급될 수 있도록 하겠습니다. 판매에 불편을 드려 죄송합니다."
9,2958,꼬리빗 볼펜 1P,290,품절,재입고 될것임,2022-10-27 ~ 2022-10-28입고예정,-,"중국공장에서 생산단종되어, 새로운 발주처를 찾고있습니다. 최대한 빨리 공급가능하도록 하겠습니다. 용도는 같으나, 제품 디자인이 변경될 수도 있습니다. 판매에 불편을 드려 죄송합니다."
10,3472,파스텔 축하카드 1set,260,품절,재입고 될것임,2022-10-26 ~ 2022-10-28입고예정,-,기존 상점 단종으로 다른 상점을 찾고있습니다. 중국 춘절 지나야 생산하는 업체가 있을것으로 예상됩니다.  최대한 빨리 발주가능한 상점을 찾아서 상품공급하도록 하겠습니다. 판매에 불편을 드려 죄송합니다.
11,1451,알프레임 A3,"14,630",품절,재입고 될것임,2022-10-26 ~ 2022-10-28입고예정,-,"사입처 품절로 확인되었습니다.
현재 정확한 재입고일정 확인이 어려워
입고예정일은 변동될수 있는점 양해부탁드리겠습니다.
품절로 불편드려 대단히 죄송합니다."
12,3896,원목 볶음스푼,"2,690",품절,재입고 될것임,2022-10-26 ~ 2022-10-28입고예정,-,"사입처 품절로 확인되었습니다.
수입과정에 문제가 생겨
당분간 입고가 많이 늦어질듯합니다.
지속적으로 확인하여 정상판매될수있게 준비하겠습니다.
품절로 불편드려 대단히 죄송합니다."
13,3900,원목 튀김요리용 젓가락,"1,350",품절,재입고 될것임,2022-10-26 ~ 2022-10-28입고예정,-,"사입처 품절로 확인되었습니다.
아직 정확한 일정확인이 안되어,
예정일은 변경될수있는점 양해부탁드리겠습니다.
품절로 불편드려 대단히 죄송합니다."
14,3901,3P 원목 숟가락 세트,"4,150",품절,재입고 될것임,2022-10-26 ~ 2022-10-28입고예정,-,"사입처 품절로 확인되었습니다.
수입과정에 문제가 생겨
당분간 입고가 많이 늦어질듯합니다.
지속적으로 확인하여 정상판매될수있게 준비하겠습니다.
품절로 불편드려 대단히 죄송합니다."
15,3925,비취우드 수저세트,"2,690",품절,재입고 될것임,2022-10-13 ~ 2022-10-14입고예정,-,"사입처 품절로 확인되었습니다.
수입과정에 문제가 생겨
당분간 입고가 많이 늦어질듯합니다.
지속적으로 확인하여 정상판매될수있게 준비하겠습니다.
품절로 불편드려 대단히 죄송합니다.

"
16,3562,조립식 4칸 다용도 정리대,"2,920",품절,재입고 될것임,-,2022-10-07삭제예정,대량주문건으로 일시품절되었습니다. 10/13~14 수입통관/입고 예정입니다. 품절로 판매에 불편을 드려 죄송합니다.
17,2349,시스맥스 이어폰 정리용 케이블UFO,"6,950",품절,재입고 될것임,2022-10-13 ~ 2022-10-14입고예정,-,"사입처 단종으로 확인되어,
부득이하게 더이상 판매가 어렵게 되었습니다.
단종으로 판매에 불편드려 대단히 죄송합니다."
18,191,다이어트 슬리퍼,"2,920",품절,재입고 미정(단종),2022-10-06 ~ 2022-10-07입고예정,-,일시품절되었습니다. 10/13~14 수입통관/입고 예정입니다. 품절로 판매에 불편을 드려 죄송합니다.
